iter	Passed	Remaining
0	1	144
1	2	146
2	4	132
3	4	119
4	6	116
5	7	112
6	8	110
7	9	108
8	11	111
9	12	109
10	13	106
11	14	104
12	15	102
13	16	100
14	17	98
15	18	97
16	19	97
17	21	97
18	22	96
19	24	97
20	25	97
21	29	102
22	30	101
23	31	100
24	33	99
25	34	97
26	35	95
27	36	93
28	38	93
29	39	91
30	40	90
31	41	88
32	42	86
33	43	84
34	44	83
35	45	81
36	47	80
37	48	79
38	49	77
39	50	76
40	51	74
41	52	72
42	53	70
43	54	69
44	56	69
45	57	67
46	58	66
47	59	64
48	61	63
49	62	62
50	63	60
51	65	60
52	67	59
53	69	59
54	70	57
55	71	56
56	73	55
57	74	54
58	76	52
59	77	51
60	78	50
61	80	49
62	83	48
63	84	47
64	86	46
65	87	45
66	88	43
67	90	42
68	91	41
69	93	39
70	94	38
71	95	37
72	97	35
73	98	34
74	99	33
75	100	31
76	101	30
77	103	29
78	104	27
79	105	26
80	106	24
81	107	23
82	108	22
83	109	20
84	110	19
85	112	18
86	113	16
87	114	15
88	115	14
89	116	12
90	117	11
91	119	10
92	121	9
93	122	7
94	123	6
95	125	5
96	126	3
97	128	2
98	129	1
99	130	0
